Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Statut,Zone de texte 1,Commentaires
1,Document,,,,,,,,,Brouillon,Diagramme de cas d'utilisation,
2,Page,,,,,,,,,,Diagramme de cas d'utilisation,
3,Conteneur rectangulaire,UML,2,,,,,,,,Système,
4,Acteur,UML,2,,,,,,,,Utlisateur,
5,Cas d'utilisation,UML,2,3,,,,,,,S'authentifier,
6,Acteur,UML,2,,,,,,,,Administrateur,
7,Cas d'utilisation,UML,2,3,,,,,,,Gérer les utilisateurs,
8,Cas d'utilisation,UML,2,3,,,,,,,Gérer son profil,
9,Cas d'utilisation,UML,2,3,,,,,,,S'authentifier en tant qu'admin,
10,Cas d'utilisation,UML,2,3,,,,,,,Gérer les droits d'accès de l'image public/Private,
11,Cas d'utilisation,UML,2,3,,,,,,,Consulter les images favorites,
12,Cas d'utilisation,UML,2,3,,,,,,,Rejeter une publication d'image,
13,Cas d'utilisation,UML,2,3,,,,,,,Approuver une publication d'image,
14,Cas d'utilisation,UML,2,3,,,,,,,Gérer les catégories d'images,
15,Cas d'utilisation,UML,2,3,,,,,,,Consulter les statisques,
16,Cas d'utilisation,UML,2,3,,,,,,,Rechercher/ Filter les images,
17,Cas d'utilisation,UML,2,3,,,,,,,Noter une image,
18,Cas d'utilisation,UML,2,3,,,,,,,Consulter les images,
19,Cas d'utilisation,UML,2,3,,,,,,,Publier une image,
20,Cas d'utilisation,UML,2,3,,,,,,,Télécharger les images,
21,Cas d'utilisation,UML,2,3,,,,,,,Modérer les contenus,
22,Ligne,,2,,,4,5,None,None,,,
23,Ligne,,2,,,9,7,None,Arrow,,,
24,Ligne,,2,,,6,9,None,None,,,
25,Ligne,,2,,,,13,None,Arrow,,,
26,Ligne,,2,,,,12,None,Arrow,,,
27,Ligne,,2,,,9,16,None,Arrow,,,
28,Ligne,,2,,,5,11,None,Arrow,,,
29,Ligne,,2,,,7,8,None,Arrow,,,
30,Ligne,,2,,,19,10,None,Arrow,,,
31,Ligne,,2,,,,17,None,Arrow,,,
32,Ligne,,2,,,5,18,None,Arrow,,,
33,Ligne,,2,,,5,20,None,Arrow,,,
34,Ligne,,2,,,5,19,None,Arrow,,,
35,Ligne,,2,,,9,21,None,Arrow,,,
36,Ligne,,2,,,9,14,None,Arrow,,,
37,Ligne,,2,,,9,15,None,Arrow,,,
38,Ligne,,2,,,5,16,None,Arrow,,,
39,Ligne,,2,,,5,8,None,Arrow,,,
